Core Data,Related
"M/S- Mustafa R. C. Pipe Works,",RP-1 BRICK
"M/S- Khawaja Glass Industries Ltd,",SALEEM BRICK
"M/S- K. S. B. Pumps Company, ",SUPER NAIZI
M/S- National Cement Industry ,WAQAS BRICK
M/S- Mustafa R. C. C. Pipe ,ZAMINDARA BRICK
"M/S- Wah Stone & Lime Quarry, ",TALA GHANG
"M/S- Wah Stone Industries, ",SADA BAHAR
"M/S- Karim Aziz Industries, ",GUL KHAL
M/S- Rizwan Pipe/Consolidate Concrete Company ,CHAKWAL BRICK
"M/S- Frontier/Hadi Hotel & Restaurant, ",M-3 BRICK
"M/S- Babar Motors,",NADEEM BRICK
M/S- Haidhry Motors ,KAMAR SHANI
"M/S- Taxial Cottn Mills, ",NATIONAL-1 BRICK
"M/S- Margalla Textile Mills, ",MURAD GULL
"M/S- Zulshan Engg. Works,",HAJI SHAMS-UR-RAHMAN
"M/S- Sethi Flour Mills, ",HAJI GHANZAFAR
"M/S- Lala Rukh Cinema,",GULL MUHAMMAD
"M/S- Azad Kashmir Russian Turbine,",ISMAILE KHAN
"M/S- Gunj Glass Works Ltd,",KAREEM KHAN
"M/S- Orient Builders Engg. Works,",RIAZ BRICK
"M/S- Prine Café, ",NOOR DAOUD
"M/S- Shaheen Lime Company,",BGK BRICKS
"M/S- Khrushid Mehmood & Co,",BUNGSAH BRICK
"M/S- Nafees/Shadab Lime Klins,",A.F BRICK
"M/S- Abdal Lime Klins,",AZEEM KHAN
"M/S- United Lime Klins,",TAHIR BRICK
"M/S- Sadat Lime Klins,",BILAL BRICK
"M/S- Burhan Woolen Mills,",BOSHTAN KHAN
"M/S- A. T. M. Corporation,",HAIJI MUHAMMAD
"M/S- New Sethi Flour Mills,",MALIK SHAMSAH
"M/S- Shama Flour Mills,",HABIB KHAN
"""- Haji Muhammad Hussain Engg. Works, ",MALIK BRICK
M/S- Dawood Lawrancepur Woolen & Textile Mills.,BILAL BRICK
"""- Iqbal Hotel & Restaurant, ",GHUALSTAN BRICK
"""- Azhar Abbasi/Abbas Ice Facotry & Cold Storage, ",WARIS BRICK
“- Hamid & Co Bhatta,KSB BRICK
"""- Abbaseen Welding Works, ",BURHAN BRICKS
"""- Memood Mehal Cinema, ",MUKHTIAR BRICK
"""- Naz Cinema, ",AL-MADINA BRICK
"""- Campbellpur Flour & General Mills, ",CHEEMA BRICKS
"""- Attock Carpets, ",N.C BRICK
"""- Muhammad Nawaz & Co, ",SULMANI BRICK
“- Nisa Enterprises ,BADASH BRICK
"""- Sohail Flour Mills  ",PAK AFGHAN
"""- Silver/Hafiz Flour Mills. ",KHURAM BRICK
“- Dong Fang Electric Corporation ,NEW NC
“- Ghazi Barotha Contractors ,GUJAR BRICK
"""- Abbas Paper & Board Mills, ",ATIHAD BRICK
"""- Al- Khalid Flour & General Mills, ",PR. BRICK
"""- Attock Flour & General Mills, ",3 STAR
"""- Bahtre Flour & General Mills, ",RAFIQ BRICK
"""- Usman Flour & General Mills, ",PR BRICK
"""- Al- Khair Departmental Store, ",BABER BRICK
"""- Tariq Flour & General Mills, ",KHATTAK BRICK
"""- Amanat Flour & General Mills, Awan Abad, ",GOLRA BRICK
"""- Darya Flour & General Mills, ",MIRVI BRICK
"""- Usmania Restaurant, , ",ATTOCK PATHAN
"""- Police Welfare Filling Station,(SHELL) ",SHAH BRICKS
"""- Taj Mehal Restaurant, ",SWABI BRICK
"""- Bannu Mukhtar (Pvt) Ltd, ",NASIR KHAN
"""- Rehmat Flour & General Mills, ",MALIK BRICKS
"M/S- Attock Textile Mills,",MUGHAL BRICKS
"""- Super Services C/O Sanofi Aventis, ",MALIK BRICKS
"""- Prime Building Material (Pvt) Ltd, ",ATTOCK BRICK
"""- Bilal Flour & General Mills, ",M.Z BRICKS
"""- Attock CNG, ",TAHIR BRICKS
"""- Al-Buraq CNG, ",ZAMEER KHAN
"""- Pak Millat Flour & General Mills, ",YAR MOHAMMAD
"""- Al-Subhani Marble, ",MALIK MUZAFAR
"""- Attock Marble, ",M.I BRICKS
"""- Umair Flour & General Mills, ",TAIMOOR ABBAS
"""- Al-Hamra Sweet & Bakers, ",707 BRICKS
"""- Standard Bakery, ",R. BRICKS
"""- Umania Restaurant,",CH. GHAZANFAR
"""- Chicken World, ",JAVED KHAN
"""- Blessing Gas (Pvt) Ltd, ",ZAMEER KHAN
"""- Kamra Hotel & Restaurant, ",AKMAL KHAN
"""- Gasco 2000 CNG",SARHAD BRICKS
"""- Rana Concrete, ",KHASHAT NASIR
"""- M. S. Q. Company ",FASIAL BRICKS
"""- Pasha petroleum ",FASIAL BRICKS
"""- Mudassar Filling Station (CALTEX) ",SHEIKH BRICKS
"""- Gul Noor CNG Station ",GONDAL BRICK
"""- A. M. S. Engineering & Contractor ",NASIR KHAN
"""- Harmain CNG Station ",N.F BRICKS
"""- Islamabad Forms Attock-I ",HAJI KHAIR
"""- Islamabad Forms Attock-II ",MUGHAL BRICKS
"""- Mian CNG Station ",AWAN BRICKS
"""- Buraq Enterprises CNG Station ",AFRIDI BRICK
"""- Envicrate Ltd",AWAN BRICK
"""- Al-Quresh Flour Mills ",MALIK SHER
"""- Abu Dawood Trading Company ",NATIONAL BRICK
"""- Islamabad Forms Attock -III, ",JAMAL BRICK
"""- Madina Flour Mills ",K.B. BRICK
""" - Al-Junaid Flour Mills, ",S.G. BRICK
""" - Alif Laam Meem (ALM) CNG Station, ",M.IQBAL KHAN
""" - Shalimar Restaurant, ",MALIK FIRDOUS
""" - Al-Rahat Bakers & Sweet, ",HAJI GUL
""" - Maroof Associates ",HAJI GUL
""" - Mik MAK Petroleum and CNG Station, ",HAJI GUL
""" - Fuel Time CNG Station ",HAJI GUL
""" - Al-Haq CNG Station, ",MALIK BRICK
""" - Lala Gee CNG Station, ",T.R. BRICK
""" - Burhan CNG Station, ",MALIK BRICK
""" - Bilal Medical Ctore,",N. BRICK
""" - Al-Bilal Sweet & Bakers,",MUGHAL BRICK
"M/S- Silver Spoon & Silver Grill Restaurant, ",AL-QURESH FLOUR
"M/S- Pakistan Lime Klins,",MADNI FLOUR
"M/S- Zulfiqar Ali Lime Klins,",AL-JUNAID FLOUR
"M/S- Shaways Lime Klins,",NEW PUNJAB
"M/S- Ali Glass Industries Ltd, ",NEW SETHI
"M/S- Rainbow Public School, ",SETHI ROLLER
"M/S- Presentation Convent High School, ",DAUD LAWRENCEPUR
"M/S- Jupiter/Ali Baba/Kings Restaurant,",BURHAN WOOLLEN
"M/S- Hamdan Hotel, ",AL-JUNAID FLOUR
"M/S- Fauji Cement Company,",AL-JUNAID FLOUR
"M/S- Rajpoot Flour Mills,",MADNI FLOUR
"M/S- Bayindar Insaat Turizm Ticeret,",PRIME BUILDING
"M/S- Asia Con (Pvt) Ltd, ",PAK MILLAT
"M/S- White Rose Hotel & Restaurant, ",AL-QURESH FLOUR
"M/S- Afghan Haroon/Sufi Kazim Restaurant, ",CAMPBELLPUR FLOUR
"M/S- Siran Flour & General Mills, ",KARIM AZIZ
M/S- Police Regmental Pump (SHELL),GUNJ GLASS
"M/S- Khawaja Flour & General Mills, ",MALIK BRICK
"M/S- Khurshid Asghar & Company, ",MALIK BRICK
"M/S- Mehmood Furniture,",MUGHAK BRICK
"M/S- LUB Gas (Pvt) Ltd,",KHAWAJA FLAT
"M/S- Sheikh Shahid Mehmood & Company Pump (PSO), ",ALI GLASS
"M/S- Gastec CNG, ",GAHANJ GLASS
"M/S- Desert Star CNG, ",PAK MILLAT
"M/S- Al-Burhan CNG, ",SIRAJ FLOUR
