customer_id,gender,partner,family,senior,mobile,dual_sim,device_insurance,internet,web_security,cloud,support,tv_replay,video_on_demand,subscription,paperless_invoice,payment_method,monthly_fee,months,total_revenue,churn
APPT-001233,female,no,yes,no,yes,yes,no,fiber_optic,no,no,yes,no,no,one_year,yes,credit_card,79.5,16,1264.2,no
APPT-001250,male,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,one_year,yes,direct_debit,19.7,0,,no
APPT-001276,female,no,no,no,no,no,yes,dsl,yes,yes,yes,yes,yes,two_years,yes,direct_debit,63.4,6,348.8,no
APPT-001322,female,no,no,no,yes,no,no,no_internet,no,no,no,no,no,one_year,yes,direct_debit,20.65,42,958.1,no
APPT-001362,female,no,yes,no,yes,no,no,no_internet,no,no,no,no,no,one_year,yes,credit_card,20.1,35,644.5,no
APPT-001392,male,no,no,no,yes,no,no,dsl,yes,no,no,no,no,one_month,yes,bank_transfer,49.55,24,1210.4,yes
APPT-001481,male,yes,yes,no,yes,yes,no,no_internet,no,no,no,no,no,two_years,yes,direct_debit,23.8,39,903.8,no
APPT-001516,male,no,no,no,yes,yes,yes,dsl,no,no,yes,no,no,one_month,no,e_invoice,59.45,27,1611.65,no
APPT-001521,female,yes,no,no,yes,yes,no,fiber_optic,no,no,no,yes,no,one_month,yes,e_invoice,86.85,19,1564.4,no
APPT-001523,male,yes,yes,no,yes,no,yes,fiber_optic,yes,no,no,no,no,two_years,no,credit_card,80.35,68,5375.15,no
APPT-001525,female,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.7,30,599.25,no
APPT-001602,male,no,yes,no,no,no,no,dsl,no,no,no,no,no,one_month,yes,e_invoice,25.3,1,25.3,yes
APPT-001631,female,yes,no,no,yes,no,yes,fiber_optic,yes,yes,no,yes,yes,one_year,yes,bank_transfer,104.45,41,4162.05,no
APPT-001753,female,no,no,no,yes,no,no,fiber_optic,no,no,no,no,no,one_month,yes,credit_card,69.05,26,1815.65,no
APPT-001874,female,no,no,no,yes,no,no,fiber_optic,no,no,no,no,no,one_month,yes,bank_transfer,70.4,33,2406.1,no
APPT-001895,male,yes,no,yes,yes,yes,no,fiber_optic,no,yes,no,yes,no,one_month,yes,e_invoice,89.95,69,6143.15,yes
APPT-001983,female,no,no,yes,yes,yes,yes,fiber_optic,no,no,no,no,no,one_month,yes,credit_card,82.65,17,1470.05,no
APPT-001996,male,yes,no,no,yes,no,no,no_internet,no,no,no,no,no,one_year,no,bank_transfer,19.6,10,189.45,no
APPT-002012,male,yes,yes,no,yes,no,no,no_internet,no,no,no,no,no,two_years,no,direct_debit,19.6,35,686.95,no
APPT-002061,female,no,no,no,yes,no,no,dsl,no,no,no,no,no,one_month,no,direct_debit,45.25,10,428.7,no
APPT-002150,male,yes,no,no,yes,yes,no,fiber_optic,no,no,yes,no,no,one_month,yes,bank_transfer,79.65,3,251.75,yes
APPT-002158,female,no,no,no,yes,yes,no,fiber_optic,no,yes,no,no,yes,one_month,yes,e_invoice,89.95,28,2625.55,yes
APPT-002212,male,yes,no,no,yes,yes,no,dsl,no,yes,no,no,no,one_month,no,credit_card,56.8,18,1074.65,no
APPT-002224,male,yes,yes,no,yes,no,no,fiber_optic,no,no,no,no,no,one_month,yes,bank_transfer,69.75,32,2347.9,yes
