Icon-src,Title,Pricing,Description,Average rating,Rating Count,Page,pagination-href
https://apps.shopifycdn.com/listing_images/f3d61c764a54b22aed51cd1cc31b5a74/icon/74bda0cdf0f72f395199cdb0b3daac47.png?height=72&width=72,Privy - Free Conversion Tools,Free plan available,"Free email popups with exit intent, targeted overlays & more",4.7,16577,1,https://apps.shopify.com/browse?page=1
https://apps.shopifycdn.com/listing_images/55adb9e9e1bda6ab0656fab1bff04e67/icon/3a064121eb5f565cd7f891a3823c5ffb.png?height=72&width=72,Sales Pop by Beeketing,Free,Boost sales with recent sales popups,4.9,14159,1,https://apps.shopify.com/browse?page=1
https://apps.shopifycdn.com/listing_images/635cce572624d1086ac37403cf25b5ee/icon/390b8ec270438793fd37f05da12ee6bb.png?height=72&width=72,Free Shipping Bar by Hextom,Free plan available,Promote free shipping with a cart goal to boost your sales,4.9,6751,1,https://apps.shopify.com/browse?page=1
https://apps.shopifycdn.com/listing_images/ca381d037bee7bd141c76d1178c582eb/icon/0a927354946df87f2217ff2956b518d1.png?height=72&width=72,Countdown Cart by Beeketing,Free,Create urgency to maximize conversion rate,4.8,6590,2,https://apps.shopify.com/browse?page=2
https://apps.shopifycdn.com/listing_images/cd71ab37aa85ad846ef6816c0d44701d/icon/cf20ed9ce6f368ee3b8a1416665a8046.png?height=72&width=72,SEO Image Optimizer - SEO,Free,Drive SEO -gain more traffic from Google Image Search for FREE,4.7,5885,1,https://apps.shopify.com/browse?page=1
https://apps.shopifycdn.com/listing_images/00d1725603ef779b9b9c74fffd60a7e5/icon/db351fdf52f00b686cf2d36f2feefe9f.png?height=72&width=72,Recart,28-day free trial,Messenger Marketing & Abandoned Cart Toolbox,4.8,4699,3,https://apps.shopify.com/browse?page=3
https://apps.shopifycdn.com/listing_images/2b9a2da804e4d56a71c3b5d4fc4a4e6c/icon/cb4825184b5658253a2f57daa8d0c33a.png?height=72&width=72,Better Coupon Box by Beeketing,Free,Customizable coupon popup to collect emails & social followers,4.8,4231,2,https://apps.shopify.com/browse?page=2
https://apps.shopifycdn.com/listing_images/0acf71ea227f225b08ce559a9b6ee9ec/icon/14e5c324251fe3a285da99d10aa03923.png?height=72&width=72,BEST Currency Converter,Free plan available,Show prices in customers local currency. Make shopping easy.,4.8,3916,1,https://apps.shopify.com/browse?page=1
https://apps.shopifycdn.com/listing_images/c0a7e5a0fc237ac7978f4c953486b291/icon/e85ec1be9e02ac404fab520be248293d.png?height=72&width=72,SEO Image - SEO optimized,Free,SEO Image Optimization,4.9,3821,4,https://apps.shopify.com/browse?page=4
https://apps.shopifycdn.com/listing_images/25682df5fe4f619fbe27486e9b069a5f/icon/c06d4aaf37de08b5dd4031db92864219.png?height=72&width=72,Facebook Chat by Beeketing,Free,Live chat with your customers using Facebook Messenger,4.8,3685,3,https://apps.shopify.com/browse?page=3
